Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,liked,playlist_origin,Primary Artist,Record Label_encoded,is_unknown_genre,Genres_encoded
Exploding,"Light, Dark, Light Again",Angie McMahon,2023-10-27,241712,38,"folk, indie, singer-songwriter, australian, indie folk",Gracie Music,0.476,0.751,7.0,-7.034,1.0,0.102,0.167,3.11e-05,0.111,0.222,129.621,50.0,df_fav_albums,Angie McMahon,58.139838353192566,0,70.28971752401394
Mother Nature,"Light, Dark, Light Again",Angie McMahon,2023-10-27,161705,35,"folk, indie, singer-songwriter, australian, indie folk",Gracie Music,0.581,0.406,0.0,-7.258,1.0,0.0451,0.704,0.0,0.248,0.187,123.471,50.0,df_fav_albums,Angie McMahon,58.139838353192566,0,70.28971752401394
Shooting Star,Friends and Family,Steven van Betten,2023-10-27,195000,2,indie folk,Future Gods,0.42,0.104,0.0,-17.07,1.0,0.0377,0.753,0.000218,0.273,0.15,112.668,50.0,df_fav_albums,Steven van Betten,55.71734508847621,0,75.28532969787886
Divine Fault Line,"Light, Dark, Light Again",Angie McMahon,2023-10-27,258353,44,"folk, indie, singer-songwriter, australian, indie folk",Gracie Music,0.769,0.48,4.0,-10.209,1.0,0.0702,0.725,0.0355,0.102,0.433,114.019,50.0,df_fav_albums,Angie McMahon,58.139838353192566,0,70.28971752401394
Fish,"Light, Dark, Light Again",Angie McMahon,2023-10-27,273852,39,"folk, indie, singer-songwriter, australian, indie folk",Gracie Music,0.299,0.478,8.0,-7.722,1.0,0.0455,0.429,0.0187,0.198,0.29,207.972,50.0,df_fav_albums,Angie McMahon,58.139838353192566,0,70.28971752401394
Fireball Whiskey,"Light, Dark, Light Again",Angie McMahon,2023-10-27,209614,44,"folk, indie, singer-songwriter, australian, indie folk",Gracie Music,0.362,0.34,0.0,-11.927,1.0,0.0673,0.887,0.000752,0.0786,0.334,148.921,50.0,df_fav_albums,Angie McMahon,58.139838353192566,0,70.28971752401394
Saturn Returning,"Light, Dark, Light Again",Angie McMahon,2023-10-27,167016,40,"folk, indie, singer-songwriter, australian, indie folk",Gracie Music,0.225,0.546,2.0,-10.239,1.0,0.0467,0.68,0.0986,0.374,0.286,102.669,50.0,df_fav_albums,Angie McMahon,58.139838353192566,0,70.28971752401394
Friendship,Friends and Family,Steven van Betten,2023-10-27,173500,7,indie folk,Future Gods,0.688,0.505,9.0,-7.178,1.0,0.0279,0.35,0.0,0.588,0.714,98.028,50.0,df_fav_albums,Steven van Betten,55.71734508847621,0,75.28532969787886
Zoe,Friends and Family,Steven van Betten,2023-10-27,184213,2,indie folk,Future Gods,0.468,0.124,9.0,-19.568,1.0,0.0959,0.86,0.0168,0.364,0.192,159.558,50.0,df_fav_albums,Steven van Betten,55.71734508847621,0,75.28532969787886
Princess and The Toad,Friends and Family,Steven van Betten,2023-10-27,173750,2,indie folk,Future Gods,0.341,0.294,10.0,-12.126,1.0,0.0337,0.537,2.38e-06,0.123,0.372,79.822,50.0,df_fav_albums,Steven van Betten,55.71734508847621,0,75.28532969787886
Two Blood Born Middle Men,Friends and Family,Steven van Betten,2023-10-27,227000,2,indie folk,Future Gods,0.496,0.194,2.0,-16.425,1.0,0.0451,0.685,0.00955,0.109,0.0987,119.239,50.0,df_fav_albums,Steven van Betten,55.71734508847621,0,75.28532969787886
Evidence,Lahai,Sampha,2023-10-20,197519,36,"electronic, soul, UK Garage, singer-songwriter",Young,0.556,0.238,11.0,-12.599,0.0,0.034,0.826,3.03e-05,0.0825,0.6,181.882,50.0,df_fav_albums,Sampha,43.2619559518828,0,65.05637561628556
Can't Go Back,Lahai,Sampha,2023-10-20,221499,37,"electronic, soul, UK Garage, singer-songwriter",Young,0.42,0.523,11.0,-10.792,1.0,0.261,0.358,0.00482,0.0841,0.413,160.698,50.0,df_fav_albums,Sampha,43.2619559518828,0,65.05637561628556
Time Piece,Lahai,Sampha,2023-10-20,20034,6,"electronic, soul, UK Garage, singer-songwriter",Young,0.611,0.0228,9.0,-30.164,1.0,0.513,0.238,3.08e-05,0.109,0.385,132.063,50.0,df_fav_albums,Sampha,43.2619559518828,0,65.05637561628556
Blame Brett,Blame My Ex,The Beaches,2023-09-15,177003,69,"indie rock, rock, indie, canada",The Beaches,0.472,0.867,1.0,-3.159,0.0,0.0409,0.0063,4.56e-06,0.326,0.792,155.996,50.0,df_fav_albums,The Beaches,56.860814106171446,0,67.33407770095589
Cigarette,Blame My Ex,The Beaches,2023-09-15,212750,41,"indie rock, rock, indie, canada",The Beaches,0.35,0.903,2.0,-3.629,1.0,0.0516,0.000735,0.00081,0.415,0.519,169.112,50.0,df_fav_albums,The Beaches,56.860814106171446,0,67.33407770095589
If A Tree Falls,Blame My Ex,The Beaches,2023-09-15,265811,40,"indie rock, rock, indie, canada",The Beaches,0.527,0.717,4.0,-4.954,1.0,0.0339,0.0501,0.0,0.339,0.309,128.013,50.0,df_fav_albums,The Beaches,56.860814106171446,0,67.33407770095589
Edge of the Earth,Blame My Ex,The Beaches,2023-09-15,160244,61,"indie rock, rock, indie, canada",The Beaches,0.494,0.751,0.0,-4.74,1.0,0.0658,0.0775,0.0,0.152,0.745,160.426,50.0,df_fav_albums,The Beaches,56.860814106171446,0,67.33407770095589
Shower Beer,Blame My Ex,The Beaches,2023-09-15,191102,48,"indie rock, rock, indie, canada",The Beaches,0.447,0.931,4.0,-3.243,1.0,0.0582,0.0573,3.12e-05,0.27,0.743,148.986,50.0,df_fav_albums,The Beaches,56.860814106171446,0,67.33407770095589
Kismet,Blame My Ex,The Beaches,2023-09-15,183873,44,"indie rock, rock, indie, canada",The Beaches,0.573,0.747,11.0,-5.191,1.0,0.0456,0.0353,3.32e-06,0.378,0.828,136.005,50.0,df_fav_albums,The Beaches,56.860814106171446,0,67.33407770095589
My Body ft Your Lips,Blame My Ex,"The Beaches,Beach Weather",2023-09-15,173975,48,"indie rock, rock, indie, canada",The Beaches,0.4,0.756,7.0,-4.517,1.0,0.0352,0.0301,0.0,0.08,0.646,100.06,50.0,df_fav_albums,The Beaches,56.860814106171446,0,67.33407770095589
Everything is Boring,Blame My Ex,The Beaches,2023-09-15,176908,51,"indie rock, rock, indie, canada",The Beaches,0.482,0.932,4.0,-2.931,1.0,0.0486,0.00967,0.0,0.231,0.729,78.543,50.0,df_fav_albums,The Beaches,56.860814106171446,0,67.33407770095589
Me & Me,Blame My Ex,The Beaches,2023-09-15,147596,51,"indie rock, rock, indie, canada",The Beaches,0.532,0.914,7.0,-3.362,1.0,0.146,0.0266,0.0,0.213,0.695,85.099,50.0,df_fav_albums,The Beaches,56.860814106171446,0,67.33407770095589
What Doesn't Kill You Makes You Paranoid,Blame My Ex,The Beaches,2023-09-15,231518,49,"indie rock, rock, indie, canada",The Beaches,0.42,0.732,4.0,-4.853,1.0,0.0374,0.00398,0.0,0.356,0.627,57.966,50.0,df_fav_albums,The Beaches,56.860814106171446,0,67.33407770095589
God Alone (feat. Rahkii & D'Nar),Strike The Ground,"Travis Greene,Forward City,Rahkii,D'Nar",2023-10-13,254920,17,"gospel,worship,gospel r&b","Tribl Records, LLC",0.536,0.761,8.0,-6.615,1.0,0.04,0.0133,0.0,0.174,0.243,142.943,50.0,df_fav_albums,Travis Greene,56.237103732883135,0,63.45257667876755
Only,Lahai,Sampha,2023-10-20,169590,44,"electronic, soul, UK Garage, singer-songwriter",Young,0.884,0.338,5.0,-10.152,0.0,0.123,0.364,0.0,0.149,0.815,136.994,50.0,df_fav_albums,Sampha,43.2619559518828,0,65.05637561628556
Search Me (feat. Titus Tucker & Chaquanna Iman),Strike The Ground,"Travis Greene,Forward City,Titus Tucker,Chaquanna Iman",2023-10-13,383493,16,"gospel,worship","Tribl Records, LLC",0.488,0.62,2.0,-8.378,1.0,0.0353,0.0219,4.4e-06,0.0754,0.176,109.929,50.0,df_fav_albums,Travis Greene,56.237103732883135,0,62.81227766877739
Yahweh (So Holy) [feat. D'Nar],Strike The Ground,"Travis Greene,Forward City,D'Nar",2023-10-13,329013,26,"gospel,worship,gospel r&b","Tribl Records, LLC",0.417,0.708,2.0,-7.429,1.0,0.0345,0.0237,0.0,0.0517,0.159,88.968,50.0,df_fav_albums,Travis Greene,56.237103732883135,0,63.45257667876755
Expect Impossible (feat. Tony Fresh),Strike The Ground,"Travis Greene,Forward City,Tony Fresh",2023-10-13,404920,21,"gospel,worship","Tribl Records, LLC",0.477,0.398,1.0,-9.232,1.0,0.0312,0.66,0.0,0.704,0.248,117.443,50.0,df_fav_albums,Travis Greene,56.237103732883135,0,62.81227766877739
Listen (feat. Titus Tucker),Strike The Ground,"Travis Greene,Forward City,Titus Tucker",2023-10-13,339973,17,"gospel,worship","Tribl Records, LLC",0.55,0.788,0.0,-8.126,1.0,0.0435,0.00534,1.34e-05,0.61,0.178,136.0,50.0,df_fav_albums,Travis Greene,56.237103732883135,0,62.81227766877739
Just Saying What He Said (feat. Chaquanna Iman),Strike The Ground,"Travis Greene,Forward City,Chaquanna Iman",2023-10-13,297920,20,"gospel,worship","Tribl Records, LLC",0.379,0.58,1.0,-8.095,1.0,0.0359,0.02,0.0,0.343,0.202,113.922,50.0,df_fav_albums,Travis Greene,56.237103732883135,0,62.81227766877739
Simple Matter,Strike The Ground,"Travis Greene,Forward City",2023-10-13,317146,40,"gospel,worship","Tribl Records, LLC",0.545,0.402,5.0,-11.875,1.0,0.0396,0.199,1.02e-05,0.721,0.167,75.001,50.0,df_fav_albums,Travis Greene,56.237103732883135,0,62.81227766877739
Track Record 2.0 (feat. Tony Fresh),Strike The Ground,"Travis Greene,Forward City,Tony Fresh",2023-10-13,221653,26,"gospel,worship","Tribl Records, LLC",0.7,0.682,1.0,-6.843,1.0,0.0434,0.104,0.0,0.319,0.343,127.978,50.0,df_fav_albums,Travis Greene,56.237103732883135,0,62.81227766877739
Track Record (feat. Tony Fresh & Jayci Lyn),Strike The Ground,"Travis Greene,Forward City,Tony Fresh,Jayci Lyn",2023-10-13,315920,24,"gospel,worship","Tribl Records, LLC",0.697,0.63,1.0,-8.147,1.0,0.0342,0.00805,0.0,0.538,0.347,128.003,50.0,df_fav_albums,Travis Greene,56.237103732883135,0,62.81227766877739
Put Your Name On Me (feat. Tony Fresh),Strike The Ground,"Travis Greene,Forward City,Tony Fresh",2023-10-13,505133,26,"gospel,worship","Tribl Records, LLC",0.492,0.64,2.0,-7.541,1.0,0.0466,0.0411,0.0,0.824,0.134,139.944,50.0,df_fav_albums,Travis Greene,56.237103732883135,0,62.81227766877739
I Want It All,Jonny,The Drums,2023-10-13,295560,0,indie,Anti/Epitaph,0.498,0.922,7.0,-5.4,1.0,0.0769,0.103,0.0,0.112,0.34,81.001,50.0,df_fav_albums,The Drums,61.43767443711169,0,70.39801919828325
I'm Still Scared,Jonny,The Drums,2023-10-13,133600,0,indie,Anti/Epitaph,0.535,0.937,0.0,-6.401,1.0,0.0503,0.0118,0.181,0.0995,0.502,179.92,50.0,df_fav_albums,The Drums,61.43767443711169,0,70.39801919828325
Better,Jonny,The Drums,2023-10-13,228946,0,indie,Anti/Epitaph,0.513,0.924,7.0,-4.343,1.0,0.106,0.333,0.00899,0.591,0.705,89.968,50.0,df_fav_albums,The Drums,61.43767443711169,0,70.39801919828325
Inclination Compass (Tenderness),Lahai,Sampha,2023-10-20,188166,38,"electronic, soul, UK Garage, singer-songwriter",Young,0.526,0.213,8.0,-12.993,0.0,0.0873,0.888,0.000863,0.0849,0.269,81.3,50.0,df_fav_albums,Sampha,43.2619559518828,0,65.05637561628556
Jonathan L. Seagull,Lahai,Sampha,2023-10-20,274599,40,"electronic, soul, UK Garage, singer-songwriter",Young,0.62,0.307,11.0,-11.929,1.0,0.0288,0.75,0.00269,0.0845,0.133,99.97,50.0,df_fav_albums,Sampha,43.2619559518828,0,65.05637561628556
Satellite Business,Lahai,Sampha,2023-10-20,84743,36,"electronic, soul, UK Garage, singer-songwriter",Young,0.48,0.311,0.0,-16.804,0.0,0.0837,0.922,3.77e-05,0.0919,0.588,120.621,50.0,df_fav_albums,Sampha,43.2619559518828,0,65.05637561628556
Suspended,Lahai,Sampha,2023-10-20,185371,44,"electronic, soul, UK Garage, singer-songwriter",Young,0.655,0.607,5.0,-8.064,0.0,0.0433,0.695,0.000626,0.12,0.547,155.974,50.0,df_fav_albums,Sampha,43.2619559518828,0,65.05637561628556
Dancing Circles,Lahai,Sampha,2023-10-20,233640,46,"electronic, soul, UK Garage, singer-songwriter",Young,0.88,0.325,7.0,-11.983,0.0,0.036,0.798,0.00112,0.0557,0.529,105.542,50.0,df_fav_albums,Sampha,43.2619559518828,0,65.05637561628556
Stereo Colour Cloud (Shaman's Dream),Lahai,Sampha,2023-10-20,177949,39,"electronic, soul, UK Garage, singer-songwriter",Young,0.541,0.526,7.0,-11.355,1.0,0.13,0.194,0.168,0.624,0.436,113.348,50.0,df_fav_albums,Sampha,43.2619559518828,0,65.05637561628556
