Artist Name,Album,Best Song,Genre,Release Date,Scrobble Score,Total Scrobbles,Avg Per Track,Obsession Score,Prediction Score,Similar Artists,Album Length,Discovery Method,Album Art URL,manual_boost,manual_notes,final_rank_override
Mac Miller,Balloonerism,Stoned,,2025-01-17,0.0,0,0.0,0.0,0.0,,58.70076666666667,Spotify,,,,
Anxious,Bambi,Counting Sheep,"midwest emo,melodic hardcore,pop punk",2025-02-21,0.0,0,0.0,0.0,0.0,,40.19995,Spotify,,,,
Will Smith;DJ Jazzy Jeff;B. Simone,Based on a True Story,Tantrum,"jazz rap,east coast hip hop",2025-03-28,0.0,0,0.0,0.0,0.0,,37.173966666666665,Spotify,,,,
Chatham Rabbits,Be Real With Me,Collateral Damage,"bluegrass,newgrass,americana",2025-02-14,0.0,0,0.0,0.0,0.0,,32.50833333333333,Spotify,,,,
Flyte,Between You and Me,Emily and Me,,2025-08-29,0.0,0,0.0,0.0,0.0,,38.84858333333333,Spotify,,,,
Kristin Daelyn,Beyond the Break,Longing,indie folk,2025-02-28,0.0,0,0.0,0.0,0.0,,23.291966666666667,Spotify,,,,
Charlie Houston,Big After I Die,Lighter,,2025-01-31,0.0,0,0.0,0.0,0.0,,29.600683333333333,Spotify,,,,
Bikini Trill,Bikini Trill,Keep on Trippin,reggae rock,2025-08-22,0.0,0,0.0,0.0,0.0,,38.31485,Spotify,,,,
CMAT,EURO-COUNTRY,When A Good Man Cries,,2025-08-29,0.0,0,0.0,0.0,0.0,,49.4384,Spotify,,,,
Miso Extra,Earcandy,Good Kisses,,2025-05-16,0.0,0,0.0,0.0,0.0,,36.64106666666667,Spotify,,,,
Pool Kids,Easier Said Than Done,Easier Said Than Done,"midwest emo,math rock",2025-08-15,0.0,0,0.0,0.0,0.0,,39.8182,Spotify,,,,
Tara Nome Doyle,Ekko,Anthill,,2025-04-11,0.0,0,0.0,0.0,0.0,,30.26615,Spotify,,,,
DOPE LEMON,Golden Wolf,Sugarcat,,2025-05-02,0.0,0,0.0,0.0,0.0,,44.18496666666667,Spotify,,,,
